Nama,Khasiat,Produsen,Kategori,Khasiat_Length,Case_folding,punctuation_removal,tokenizing,stopwordremoval,stemming
Montok Payudara,"Membuat tubuh montok dan berisi, Melangsingkan dan menyingsetkan tubuh, Mengencangkan payudara, Menghilangkan pegal² dan kecapean, Menambah semangat kerja, Menggantikan sel² kulit mati dengan segera, Kulit menjadi halus dan berseri",Karya Ibu Abdullah,Jamu Perawatan Kewanitaan,231,"membuat tubuh montok dan berisi, melangsingkan dan menyingsetkan tubuh, mengencangkan payudara, menghilangkan pegal² dan kecapean, menambah semangat kerja, menggantikan sel² kulit mati dengan segera, kulit menjadi halus dan berseri",membuat tubuh montok dan berisi melangsingkan dan menyingsetkan tubuh mengencangkan payudara menghilangkan pegal² dan kecapean menambah semangat kerja menggantikan sel² kulit mati dengan segera kulit menjadi halus dan berseri,"['membuat', 'tubuh', 'montok', 'dan', 'berisi', 'melangsingkan', 'dan', 'menyingsetkan', 'tubuh', 'mengencangkan', 'payudara', 'menghilangkan', 'pegal²', 'dan', 'kecapean', 'menambah', 'semangat', 'kerja', 'menggantikan', 'sel²', 'kulit', 'mati', 'dengan', 'segera', 'kulit', 'menjadi', 'halus', 'dan', 'berseri']","['tubuh', 'montok', 'berisi', 'melangsingkan', 'menyingsetkan', 'tubuh', 'mengencangkan', 'payudara', 'menghilangkan', 'pegal²', 'kecapean', 'menambah', 'semangat', 'kerja', 'menggantikan', 'sel²', 'kulit', 'mati', 'kulit', 'halus', 'berseri']","['tubuh', 'montok', 'isi', 'langsing', 'singset', 'tubuh', 'encang', 'payudara', 'hilang', 'pegal', 'cape', 'tambah', 'semangat', 'kerja', 'ganti', 'sel', 'kulit', 'mati', 'kulit', 'halus', 'seri']"
Peluntur Lemak,"Melarutkan lemak dalam tubuh, Mengurangi nafsu makan, Menyusutkan lemak perut, Menurunkan kolesterol, Melancarkan BAB",Karya Ibu Abdullah,Jamu Kesehatan,117,"melarutkan lemak dalam tubuh, mengurangi nafsu makan, menyusutkan lemak perut, menurunkan kolesterol, melancarkan bab",melarutkan lemak dalam tubuh mengurangi nafsu makan menyusutkan lemak perut menurunkan kolesterol melancarkan bab,"['melarutkan', 'lemak', 'dalam', 'tubuh', 'mengurangi', 'nafsu', 'makan', 'menyusutkan', 'lemak', 'perut', 'menurunkan', 'kolesterol', 'melancarkan', 'bab']","['melarutkan', 'lemak', 'tubuh', 'mengurangi', 'nafsu', 'makan', 'menyusutkan', 'lemak', 'perut', 'menurunkan', 'kolesterol', 'melancarkan', 'bab']","['larut', 'lemak', 'tubuh', 'kurang', 'nafsu', 'makan', 'susut', 'lemak', 'perut', 'turun', 'kolesterol', 'lancar', 'bab']"
empot-empotan,"Mengobati keputihan, Menyehatkan / menyingsetkan badan, Menambah gairah hubungan suami-istri, Mengobati gatal² dan menghilangkan bau badan dan bau mulut, Cocok bulanan, Menguatkan otot² muda kembali",Karya Ibu Abdullah,Jamu Pasutri,198,"mengobati keputihan, menyehatkan / menyingsetkan badan, menambah gairah hubungan suami-istri, mengobati gatal² dan menghilangkan bau badan dan bau mulut, cocok bulanan, menguatkan otot² muda kembali",mengobati keputihan menyehatkan  menyingsetkan badan menambah gairah hubungan suamiistri mengobati gatal² dan menghilangkan bau badan dan bau mulut cocok bulanan menguatkan otot² muda kembali,"['mengobati', 'keputihan', 'menyehatkan', 'menyingsetkan', 'badan', 'menambah', 'gairah', 'hubungan', 'suamiistri', 'mengobati', 'gatal²', 'dan', 'menghilangkan', 'bau', 'badan', 'dan', 'bau', 'mulut', 'cocok', 'bulanan', 'menguatkan', 'otot²', 'muda', 'kembali']","['mengobati', 'keputihan', 'menyehatkan', 'menyingsetkan', 'badan', 'menambah', 'gairah', 'hubungan', 'suamiistri', 'mengobati', 'gatal²', 'menghilangkan', 'bau', 'badan', 'bau', 'mulut', 'cocok', 'bulanan', 'menguatkan', 'otot²', 'muda']","['obat', 'putih', 'sehat', 'singset', 'badan', 'tambah', 'gairah', 'hubung', 'suamiistri', 'obat', 'gatal', 'hilang', 'bau', 'badan', 'bau', 'mulut', 'cocok', 'bulan', 'kuat', 'otot', 'muda']"
Kuat Semangat Helbeh Mutiara,"Mengatasi lemah syahwat, sakit pinggang, rematik, encok dll, Helbeh mutiara ini merangsang otot dan syaraf yang lemah pada seluruh organ tubuh, Menghilangkan jantung berdebar, letih, lesu, dan asam urat, Menghilangkan nyeri tulang dan tambah darah",Karya Ibu Abdullah,Jamu Pasutri,247,"mengatasi lemah syahwat, sakit pinggang, rematik, encok dll, helbeh mutiara ini merangsang otot dan syaraf yang lemah pada seluruh organ tubuh, menghilangkan jantung berdebar, letih, lesu, dan asam urat, menghilangkan nyeri tulang dan tambah darah",mengatasi lemah syahwat sakit pinggang rematik encok dll helbeh mutiara ini merangsang otot dan syaraf yang lemah pada seluruh organ tubuh menghilangkan jantung berdebar letih lesu dan asam urat menghilangkan nyeri tulang dan tambah darah,"['mengatasi', 'lemah', 'syahwat', 'sakit', 'pinggang', 'rematik', 'encok', 'dll', 'helbeh', 'mutiara', 'ini', 'merangsang', 'otot', 'dan', 'syaraf', 'yang', 'lemah', 'pada', 'seluruh', 'organ', 'tubuh', 'menghilangkan', 'jantung', 'berdebar', 'letih', 'lesu', 'dan', 'asam', 'urat', 'menghilangkan', 'nyeri', 'tulang', 'dan', 'tambah', 'darah']","['mengatasi', 'lemah', 'syahwat', 'sakit', 'pinggang', 'rematik', 'encok', 'dll', 'helbeh', 'mutiara', 'merangsang', 'otot', 'syaraf', 'lemah', 'organ', 'tubuh', 'menghilangkan', 'jantung', 'berdebar', 'letih', 'lesu', 'asam', 'urat', 'menghilangkan', 'nyeri', 'tulang', 'darah']","['atas', 'lemah', 'syahwat', 'sakit', 'pinggang', 'rematik', 'encok', 'dll', 'helbeh', 'mutiara', 'rangsang', 'otot', 'syaraf', 'lemah', 'organ', 'tubuh', 'hilang', 'jantung', 'debar', 'letih', 'lesu', 'asam', 'urat', 'hilang', 'nyeri', 'tulang', 'darah']"
jamu kuat Helbeh Mutiara,"Menghilangkan rasa letih, Menambah tenaga /energi, Mengobati lemah syahwat, Mengobati jantung berdebar, Menghilangkan sakit pinggang, Menghilangkan rematik/encok, Mengurangi asam urat, Menghancurkan batu ginjal",Karya Ibu Abdullah,Jamu Pasutri,210,"menghilangkan rasa letih, menambah tenaga /energi, mengobati lemah syahwat, mengobati jantung berdebar, menghilangkan sakit pinggang, menghilangkan rematik/encok, mengurangi asam urat, menghancurkan batu ginjal",menghilangkan rasa letih menambah tenaga energi mengobati lemah syahwat mengobati jantung berdebar menghilangkan sakit pinggang menghilangkan rematikencok mengurangi asam urat menghancurkan batu ginjal,"['menghilangkan', 'rasa', 'letih', 'menambah', 'tenaga', 'energi', 'mengobati', 'lemah', 'syahwat', 'mengobati', 'jantung', 'berdebar', 'menghilangkan', 'sakit', 'pinggang', 'menghilangkan', 'rematikencok', 'mengurangi', 'asam', 'urat', 'menghancurkan', 'batu', 'ginjal']","['menghilangkan', 'letih', 'menambah', 'tenaga', 'energi', 'mengobati', 'lemah', 'syahwat', 'mengobati', 'jantung', 'berdebar', 'menghilangkan', 'sakit', 'pinggang', 'menghilangkan', 'rematikencok', 'mengurangi', 'asam', 'urat', 'menghancurkan', 'batu', 'ginjal']","['hilang', 'letih', 'tambah', 'tenaga', 'energi', 'obat', 'lemah', 'syahwat', 'obat', 'jantung', 'debar', 'hilang', 'sakit', 'pinggang', 'hilang', 'rematikencok', 'kurang', 'asam', 'urat', 'hancur', 'batu', 'ginjal']"
jamu kuat pria dewasa semalam di madura,meningkatkan stamina dan daya tubuh pria saat berhubungan intim,PD Sakera Madura,Jamu Pasutri,63,meningkatkan stamina dan daya tubuh pria saat berhubungan intim,meningkatkan stamina dan daya tubuh pria saat berhubungan intim,"['meningkatkan', 'stamina', 'dan', 'daya', 'tubuh', 'pria', 'saat', 'berhubungan', 'intim']","['meningkatkan', 'stamina', 'daya', 'tubuh', 'pria', 'berhubungan', 'intim']","['tingkat', 'stamina', 'daya', 'tubuh', 'pria', 'hubung', 'intim']"
jamu helbeh semangat ramuan herbal madura,"menguatkan badan, mencerdaskan otak, mencegah rematik, menambah semangat, menyembuhkan batuk asma, menyembuhkan sakit pinggang",JKU SUPER,Jamu Kesehatan,126,"menguatkan badan, mencerdaskan otak, mencegah rematik, menambah semangat, menyembuhkan batuk asma, menyembuhkan sakit pinggang",menguatkan badan mencerdaskan otak mencegah rematik menambah semangat menyembuhkan batuk asma menyembuhkan sakit pinggang,"['menguatkan', 'badan', 'mencerdaskan', 'otak', 'mencegah', 'rematik', 'menambah', 'semangat', 'menyembuhkan', 'batuk', 'asma', 'menyembuhkan', 'sakit', 'pinggang']","['menguatkan', 'badan', 'mencerdaskan', 'otak', 'mencegah', 'rematik', 'menambah', 'semangat', 'menyembuhkan', 'batuk', 'asma', 'menyembuhkan', 'sakit', 'pinggang']","['kuat', 'badan', 'cerdas', 'otak', 'cegah', 'rematik', 'tambah', 'semangat', 'sembuh', 'batuk', 'asma', 'sembuh', 'sakit', 'pinggang']"
jamu sariwangi ramuan madura,"untuk membantu menghilangkan bau mulut dan bau badan pada pria dan wanita, produk sari wangi ini merupakan jamu herbal yang bisa membantu menghilangkan bau mulut, bau badan dan keringat serta bau yang keluar dari tubuh manusia, dan juga bau yang keluar dari mulut yang bersumber dari perut dan pencernaan.",jokotole,Jamu Kesehatan,305,"untuk membantu menghilangkan bau mulut dan bau badan pada pria dan wanita, produk sari wangi ini merupakan jamu herbal yang bisa membantu menghilangkan bau mulut, bau badan dan keringat serta bau yang keluar dari tubuh manusia, dan juga bau yang keluar dari mulut yang bersumber dari perut dan pencernaan.",untuk membantu menghilangkan bau mulut dan bau badan pada pria dan wanita produk sari wangi ini merupakan jamu herbal yang bisa membantu menghilangkan bau mulut bau badan dan keringat serta bau yang keluar dari tubuh manusia dan juga bau yang keluar dari mulut yang bersumber dari perut dan pencernaan,"['untuk', 'membantu', 'menghilangkan', 'bau', 'mulut', 'dan', 'bau', 'badan', 'pada', 'pria', 'dan', 'wanita', 'produk', 'sari', 'wangi', 'ini', 'merupakan', 'jamu', 'herbal', 'yang', 'bisa', 'membantu', 'menghilangkan', 'bau', 'mulut', 'bau', 'badan', 'dan', 'keringat', 'serta', 'bau', 'yang', 'keluar', 'dari', 'tubuh', 'manusia', 'dan', 'juga', 'bau', 'yang', 'keluar', 'dari', 'mulut', 'yang', 'bersumber', 'dari', 'perut', 'dan', 'pencernaan']","['membantu', 'menghilangkan', 'bau', 'mulut', 'bau', 'badan', 'pria', 'wanita', 'produk', 'sari', 'wangi', 'jamu', 'herbal', 'membantu', 'menghilangkan', 'bau', 'mulut', 'bau', 'badan', 'keringat', 'bau', 'tubuh', 'manusia', 'bau', 'mulut', 'bersumber', 'perut', 'pencernaan']","['bantu', 'hilang', 'bau', 'mulut', 'bau', 'badan', 'pria', 'wanita', 'produk', 'sari', 'wangi', 'jamu', 'herbal', 'bantu', 'hilang', 'bau', 'mulut', 'bau', 'badan', 'keringat', 'bau', 'tubuh', 'manusia', 'bau', 'mulut', 'sumber', 'perut', 'cerna']"
Serimpang,"untuk kesehatan tubuh, membuat badan menjadi fresh kembali",UD. SIMPANG TIGA,Jamu Kesehatan,58,"untuk kesehatan tubuh, membuat badan menjadi fresh kembali",untuk kesehatan tubuh membuat badan menjadi fresh kembali,"['untuk', 'kesehatan', 'tubuh', 'membuat', 'badan', 'menjadi', 'fresh', 'kembali']","['kesehatan', 'tubuh', 'badan', 'fresh']","['sehat', 'tubuh', 'badan', 'fresh']"
Lancar darah,"untuk melancarkan keluarnya darah pada waktu dan masa datang bulan, mencegah dan mengurangi sakit perut, sakit pinggang, pusing, dan nyeri yang timbul pada masa datang bulan",Madura Sari,Jamu Perawatan Kewanitaan,173,"untuk melancarkan keluarnya darah pada waktu dan masa datang bulan, mencegah dan mengurangi sakit perut, sakit pinggang, pusing, dan nyeri yang timbul pada masa datang bulan",untuk melancarkan keluarnya darah pada waktu dan masa datang bulan mencegah dan mengurangi sakit perut sakit pinggang pusing dan nyeri yang timbul pada masa datang bulan,"['untuk', 'melancarkan', 'keluarnya', 'darah', 'pada', 'waktu', 'dan', 'masa', 'datang', 'bulan', 'mencegah', 'dan', 'mengurangi', 'sakit', 'perut', 'sakit', 'pinggang', 'pusing', 'dan', 'nyeri', 'yang', 'timbul', 'pada', 'masa', 'datang', 'bulan']","['melancarkan', 'keluarnya', 'darah', 'mencegah', 'mengurangi', 'sakit', 'perut', 'sakit', 'pinggang', 'pusing', 'nyeri', 'timbul']","['lancar', 'keluar', 'darah', 'cegah', 'kurang', 'sakit', 'perut', 'sakit', 'pinggang', 'pusing', 'nyeri', 'timbul']"
jamu tradisional madura kecantikan,"menjaga agar badan tetap sehat, segar, awet muda dan mencegah timbulnya jerawat, melangsingkan tubuh dan mengencangkan tubuh, mengurangi bau badan",Ny. Hj Hayati,Jamu Perawatan Kewanitaan,146,"menjaga agar badan tetap sehat, segar, awet muda dan mencegah timbulnya jerawat, melangsingkan tubuh dan mengencangkan tubuh, mengurangi bau badan",menjaga agar badan tetap sehat segar awet muda dan mencegah timbulnya jerawat melangsingkan tubuh dan mengencangkan tubuh mengurangi bau badan,"['menjaga', 'agar', 'badan', 'tetap', 'sehat', 'segar', 'awet', 'muda', 'dan', 'mencegah', 'timbulnya', 'jerawat', 'melangsingkan', 'tubuh', 'dan', 'mengencangkan', 'tubuh', 'mengurangi', 'bau', 'badan']","['menjaga', 'badan', 'sehat', 'segar', 'awet', 'muda', 'mencegah', 'timbulnya', 'jerawat', 'melangsingkan', 'tubuh', 'mengencangkan', 'tubuh', 'mengurangi', 'bau', 'badan']","['jaga', 'badan', 'sehat', 'segar', 'awet', 'muda', 'cegah', 'timbul', 'jerawat', 'langsing', 'tubuh', 'encang', 'tubuh', 'kurang', 'bau', 'badan']"
jamu gendong klasik madura(JKM),"Menjaga kebersihan Miss V, Mencegah keputihan, Menghilangkan bau tak sedap, Menghilangkan gatal - gatal, Mengurangi lendir berlebih, Merapatkan miss V, Empot - Empot, Membuat Miss V lebih keset dan harum, Mengencangkan otot - otot Miss V, Cocok untuk ibu menyusui, Melancarkan HAID, Mendetox kotoran yang ada pada rahim",JKM,Jamu Perawatan Kewanitaan,319,"menjaga kebersihan miss v, mencegah keputihan, menghilangkan bau tak sedap, menghilangkan gatal - gatal, mengurangi lendir berlebih, merapatkan miss v, empot - empot, membuat miss v lebih keset dan harum, mengencangkan otot - otot miss v, cocok untuk ibu menyusui, melancarkan haid, mendetox kotoran yang ada pada rahim",menjaga kebersihan miss v mencegah keputihan menghilangkan bau tak sedap menghilangkan gatal  gatal mengurangi lendir berlebih merapatkan miss v empot  empot membuat miss v lebih keset dan harum mengencangkan otot  otot miss v cocok untuk ibu menyusui melancarkan haid mendetox kotoran yang ada pada rahim,"['menjaga', 'kebersihan', 'miss', 'v', 'mencegah', 'keputihan', 'menghilangkan', 'bau', 'tak', 'sedap', 'menghilangkan', 'gatal', 'gatal', 'mengurangi', 'lendir', 'berlebih', 'merapatkan', 'miss', 'v', 'empot', 'empot', 'membuat', 'miss', 'v', 'lebih', 'keset', 'dan', 'harum', 'mengencangkan', 'otot', 'otot', 'miss', 'v', 'cocok', 'untuk', 'ibu', 'menyusui', 'melancarkan', 'haid', 'mendetox', 'kotoran', 'yang', 'ada', 'pada', 'rahim']","['menjaga', 'kebersihan', 'miss', 'v', 'mencegah', 'keputihan', 'menghilangkan', 'bau', 'sedap', 'menghilangkan', 'gatal', 'gatal', 'mengurangi', 'lendir', 'berlebih', 'merapatkan', 'miss', 'v', 'empot', 'empot', 'miss', 'v', 'keset', 'harum', 'mengencangkan', 'otot', 'otot', 'miss', 'v', 'cocok', 'menyusui', 'melancarkan', 'haid', 'mendetox', 'kotoran', 'rahim']","['jaga', 'bersih', 'miss', 'v', 'cegah', 'putih', 'hilang', 'bau', 'sedap', 'hilang', 'gatal', 'gatal', 'kurang', 'lendir', 'lebih', 'rapat', 'miss', 'v', 'empot', 'empot', 'miss', 'v', 'keset', 'harum', 'encang', 'otot', 'otot', 'miss', 'v', 'cocok', 'susu', 'lancar', 'haid', 'mendetox', 'kotor', 'rahim']"
ramuan tradisional madura,"asma, rematik, tekanan darah tinggi, kencing manis, kencing batu, ginjal, amandel, tumor, migrain, liver alergi maag, maag, lemah jantung, exim, kurang nafsu makan, kurang darah,  asam urat",CV.WAHYU ILLAHI,Jamu Kesehatan,189,"asma, rematik, tekanan darah tinggi, kencing manis, kencing batu, ginjal, amandel, tumor, migrain, liver alergi maag, maag, lemah jantung, exim, kurang nafsu makan, kurang darah,  asam urat",asma rematik tekanan darah tinggi kencing manis kencing batu ginjal amandel tumor migrain liver alergi maag maag lemah jantung exim kurang nafsu makan kurang darah  asam urat,"['asma', 'rematik', 'tekanan', 'darah', 'tinggi', 'kencing', 'manis', 'kencing', 'batu', 'ginjal', 'amandel', 'tumor', 'migrain', 'liver', 'alergi', 'maag', 'maag', 'lemah', 'jantung', 'exim', 'kurang', 'nafsu', 'makan', 'kurang', 'darah', 'asam', 'urat']","['asma', 'rematik', 'tekanan', 'darah', 'kencing', 'manis', 'kencing', 'batu', 'ginjal', 'amandel', 'tumor', 'migrain', 'liver', 'alergi', 'maag', 'maag', 'lemah', 'jantung', 'exim', 'nafsu', 'makan', 'darah', 'asam', 'urat']","['asma', 'rematik', 'tekan', 'darah', 'kencing', 'manis', 'kencing', 'batu', 'ginjal', 'amandel', 'tumor', 'migrain', 'liver', 'alergi', 'maag', 'maag', 'lemah', 'jantung', 'exim', 'nafsu', 'makan', 'darah', 'asam', 'urat']"
jamu sehat bugar,"Membantu menyembuhkan, Asma, Sebagai obat Rematik, Bisa mengobati Tekanan, Darah Tinggi, Dapat membantu menyembuhkan, Kencing Manis (diabetes), Dapat membantu menyembuhkan Kencing Batu, Bisa Membantu menyembuhkan Penyakit, Ginjal, Membantu menyembuhkan Amandel, Membantu Menyembuhkan,Tumor, Dapat membantu menyembuhkan, Migrain (sakit kepala), Bisa membantu menyembuhkan, Liver atau hepatitis, Dapat membantu menyembuhkan, Alergi, Bisa membantu menyembuhkan, Menyembuhkan Maag, Dapat membantu menyembuhkan, Lemah Jantung, Membantu , Mengobati Eksim (penyakit kulit), Menambah Nafsu makan, Bisa membantu menyembuhkan Kurang darah, Bisa membantu menyembuhkan Lemah, Syahwat, dan Dapat membantu menyembuhkan Asam Urat",CV.WAHYU ILLAHI,Jamu Kesehatan,714,"membantu menyembuhkan, asma, sebagai obat rematik, bisa mengobati tekanan, darah tinggi, dapat membantu menyembuhkan, kencing manis (diabetes), dapat membantu menyembuhkan kencing batu, bisa membantu menyembuhkan penyakit, ginjal, membantu menyembuhkan amandel, membantu menyembuhkan,tumor, dapat membantu menyembuhkan, migrain (sakit kepala), bisa membantu menyembuhkan, liver atau hepatitis, dapat membantu menyembuhkan, alergi, bisa membantu menyembuhkan, menyembuhkan maag, dapat membantu menyembuhkan, lemah jantung, membantu , mengobati eksim (penyakit kulit), menambah nafsu makan, bisa membantu menyembuhkan kurang darah, bisa membantu menyembuhkan lemah, syahwat, dan dapat membantu menyembuhkan asam urat",membantu menyembuhkan asma sebagai obat rematik bisa mengobati tekanan darah tinggi dapat membantu menyembuhkan kencing manis diabetes dapat membantu menyembuhkan kencing batu bisa membantu menyembuhkan penyakit ginjal membantu menyembuhkan amandel membantu menyembuhkantumor dapat membantu menyembuhkan migrain sakit kepala bisa membantu menyembuhkan liver atau hepatitis dapat membantu menyembuhkan alergi bisa membantu menyembuhkan menyembuhkan maag dapat membantu menyembuhkan lemah jantung membantu  mengobati eksim penyakit kulit menambah nafsu makan bisa membantu menyembuhkan kurang darah bisa membantu menyembuhkan lemah syahwat dan dapat membantu menyembuhkan asam urat,"['membantu', 'menyembuhkan', 'asma', 'sebagai', 'obat', 'rematik', 'bisa', 'mengobati', 'tekanan', 'darah', 'tinggi', 'dapat', 'membantu', 'menyembuhkan', 'kencing', 'manis', 'diabetes', 'dapat', 'membantu', 'menyembuhkan', 'kencing', 'batu', 'bisa', 'membantu', 'menyembuhkan', 'penyakit', 'ginjal', 'membantu', 'menyembuhkan', 'amandel', 'membantu', 'menyembuhkantumor', 'dapat', 'membantu', 'menyembuhkan', 'migrain', 'sakit', 'kepala', 'bisa', 'membantu', 'menyembuhkan', 'liver', 'atau', 'hepatitis', 'dapat', 'membantu', 'menyembuhkan', 'alergi', 'bisa', 'membantu', 'menyembuhkan', 'menyembuhkan', 'maag', 'dapat', 'membantu', 'menyembuhkan', 'lemah', 'jantung', 'membantu', 'mengobati', 'eksim', 'penyakit', 'kulit', 'menambah', 'nafsu', 'makan', 'bisa', 'membantu', 'menyembuhkan', 'kurang', 'darah', 'bisa', 'membantu', 'menyembuhkan', 'lemah', 'syahwat', 'dan', 'dapat', 'membantu', 'menyembuhkan', 'asam', 'urat']","['membantu', 'menyembuhkan', 'asma', 'obat', 'rematik', 'mengobati', 'tekanan', 'darah', 'membantu', 'menyembuhkan', 'kencing', 'manis', 'diabetes', 'membantu', 'menyembuhkan', 'kencing', 'batu', 'membantu', 'menyembuhkan', 'penyakit', 'ginjal', 'membantu', 'menyembuhkan', 'amandel', 'membantu', 'menyembuhkantumor', 'membantu', 'menyembuhkan', 'migrain', 'sakit', 'kepala', 'membantu', 'menyembuhkan', 'liver', 'hepatitis', 'membantu', 'menyembuhkan', 'alergi', 'membantu', 'menyembuhkan', 'menyembuhkan', 'maag', 'membantu', 'menyembuhkan', 'lemah', 'jantung', 'membantu', 'mengobati', 'eksim', 'penyakit', 'kulit', 'menambah', 'nafsu', 'makan', 'membantu', 'menyembuhkan', 'darah', 'membantu', 'menyembuhkan', 'lemah', 'syahwat', 'membantu', 'menyembuhkan', 'asam', 'urat']","['bantu', 'sembuh', 'asma', 'obat', 'rematik', 'obat', 'tekan', 'darah', 'bantu', 'sembuh', 'kencing', 'manis', 'diabetes', 'bantu', 'sembuh', 'kencing', 'batu', 'bantu', 'sembuh', 'sakit', 'ginjal', 'bantu', 'sembuh', 'amandel', 'bantu', 'menyembuhkantumor', 'bantu', 'sembuh', 'migrain', 'sakit', 'kepala', 'bantu', 'sembuh', 'liver', 'hepatitis', 'bantu', 'sembuh', 'alergi', 'bantu', 'sembuh', 'sembuh', 'maag', 'bantu', 'sembuh', 'lemah', 'jantung', 'bantu', 'obat', 'eksim', 'sakit', 'kulit', 'tambah', 'nafsu', 'makan', 'bantu', 'sembuh', 'darah', 'bantu', 'sembuh', 'lemah', 'syahwat', 'bantu', 'sembuh', 'asam', 'urat']"
